estadio,index
Estádio Olímpico Nilton Santos,0
Estádio Governador Magalhães Pinto,1
Estádio Jornalista Mário Filho,2
Estádio Eládio de Barros Carvalho,3
Estádio do Governo do Estado de Goiás,4
Allianz Parque,5
Estádio Urbano Caldeira,6
Estádio Doutor Osvaldo Texeira Duarte,7
Estádio Cícero Pompeu de Toledo,8
Estádio Major Antônio Couto Pereira,9
Estádio Manoel Barradas,10
Estádio Municipal João Lamego Netto,11
Arena da Baixada,12
Estádio Adelmar da Costa Carvalho,13
Estádio Beira-Rio,14
Estádio São Januário,15
Estádio Orlando Scarpelli,16
Estádio Olímpico Monumental,17
Estádio Governador Roberto Santos,18
Estádio Aderbal Ramos da Silva,19
Estádio Raimundo Sampaio,20
Estádio Governador Plácido Castelo,21
Estádio Serra Dourada,22
Estádio Municipal Paulo Machado de Carvalho,23
Arena Barueri,24
Estádio Moisés Lucarelli,25
Estádio Elmo Serejo Farias,26
Estádio Valmir Campelo Bezerra,27
Estádio Paulo Constantino,28
Arena Fonte Nova,29
Estádio Joaquim Henrique Nogueira,30
Estádio Vail Chaves,31
Estádio Francisco Stédile,32
Estádio do Vale,33
Estádio Heriberto Hülse,34
Arena de Pernambuco,35
Estádio Cláudio Moacyr de Azevedo,36
Estádio Nacional de Brasília Mané Garrincha,37
Estádio General Sílvio Raulino de Oliveira,38
Estádio Municipal Doutor Novelli Júnior,39
Arena do Grêmio,40
Estádio Alberto Oliveira,41
Arena Condá,42
Neo Química Arena,43
Estádio Durival Britto e Silva,44
Arena das Dunas,45
Estadio Parque Maracaná,46
Estádio Giulite Coutinho,47
Estádio José do Rego Maciel,48
Arena Pantanal,49
Estádio Municipal Jacy Scaff,50
Estádio Estadual Kléber José de Andrade,51
Estádio Presidente Vargas,52
Estádio Rei Pelé,53
Estádio Nabi Abi Chedid,54
Arena MRV,55
Estádio Alfredo Jaconi,56
Estádio Municipal Parque do Sabiá,57
