ano_campeonato,mes,dia,week_day,rodada,estadio,arbitro,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,winner
2008,8,10,0,19,0,0,0,0,0,0,8,3,12800000,22700000,28.1,27.0,0.0,0.0,2,6,16,7,6,13,5,5,0,2,9,22,2,11,1
2008,8,20,3,21,0,1,0,1,0,1,4,2,16000000,23250000,26.0,25.1,0.0,0.0,5,9,14,11,11,12,4,4,0,2,10,16,3,9,1
2008,8,30,6,23,0,2,0,2,0,2,4,18,15800000,6850000,27.6,27.7,1.0,0.0,4,6,14,16,14,14,2,4,2,0,15,13,8,7,0
2008,9,28,0,27,0,3,0,3,0,3,6,19,16800000,22750000,28.9,24.7,1.0,0.0,2,2,15,10,10,14,3,1,0,3,11,20,6,10,0
2008,10,18,6,30,0,4,0,4,0,4,6,13,19000000,12350000,26.4,27.0,0.0,0.0,3,7,18,11,11,18,3,3,1,3,18,20,10,10,2
2008,11,9,0,34,0,5,0,5,0,5,6,5,18700000,27100000,26.9,26.9,0.0,0.0,4,9,14,13,12,13,5,3,1,0,7,15,1,4,2
2008,11,22,6,36,0,6,0,6,0,6,9,14,8100000,10650000,25.8,25.3,1.0,0.0,6,11,16,14,11,16,5,1,2,1,6,17,2,9,0
2008,11,30,0,37,0,7,0,7,0,7,9,17,12250000,10450000,27.1,22.8,0.0,0.0,2,4,11,11,11,10,2,2,2,1,12,21,6,10,2
2008,5,17,6,2,1,2,1,8,1,3,3,2,22300000,13000000,24.6,25.1,1.0,0.0,3,8,14,23,22,12,3,3,1,0,12,16,4,8,1
2008,5,25,0,3,1,8,1,4,1,8,2,7,22200000,18500000,25.0,26.9,1.0,0.0,5,8,15,22,21,15,2,0,1,0,8,14,3,8,1
2008,6,8,0,5,1,9,1,9,1,9,1,4,22200000,11550000,25.0,25.7,0.0,0.0,3,8,16,8,8,15,2,4,2,1,18,19,5,11,1
2008,6,21,6,7,1,10,1,7,1,10,3,13,24750000,10000000,25.6,25.1,1.0,0.0,6,2,9,13,13,9,4,3,2,1,16,11,11,6,1
2008,6,29,0,8,1,5,1,10,1,11,3,6,27200000,33500000,25.4,28.3,1.0,0.0,3,4,19,15,15,18,3,3,1,2,17,17,7,9,0
2008,7,16,3,12,1,11,1,6,1,2,2,13,23850000,11900000,24.8,24.8,0.0,0.0,10,3,11,15,14,11,5,4,2,1,22,11,11,3,1
2008,8,7,4,18,1,2,1,11,1,12,2,9,29200000,17750000,25.7,29.7,1.0,0.0,4,4,15,18,18,14,10,5,2,2,16,23,7,6,1
2008,8,16,6,20,1,12,1,12,1,13,2,6,28450000,6800000,26.3,26.3,1.0,0.0,5,5,14,13,12,14,5,1,2,0,10,12,5,3,1
2008,8,31,0,23,1,7,1,13,1,14,3,7,35500000,13200000,25.0,24.6,1.0,0.0,5,9,12,9,8,11,6,4,1,0,13,18,5,8,0
2008,10,2,4,28,1,4,1,14,1,15,5,11,26100000,6600000,24.7,28.0,0.0,0.0,5,4,19,21,19,19,3,3,1,2,11,14,5,7,1
2008,10,9,4,29,1,0,1,15,1,16,5,19,28150000,4450000,24.9,26.2,1.0,0.0,5,4,18,18,18,18,1,4,4,1,10,12,4,3,1
2008,10,29,3,32,1,13,1,16,1,17,4,1,31400000,21300000,26.0,24.5,1.0,0.0,3,8,13,10,10,12,2,4,0,1,19,16,8,10,1
2008,11,9,0,34,1,14,1,3,1,18,4,14,32000000,18550000,24.2,26.3,0.0,0.0,7,4,15,11,10,12,1,2,1,0,12,8,4,2,1
2008,11,23,0,36,1,4,1,5,1,5,4,3,20900000,32300000,24.5,27.9,1.0,0.0,9,4,14,13,12,14,5,4,1,0,9,15,3,6,1
2008,5,11,0,1,2,13,2,4,2,8,1,17,27400000,10000000,26.8,21.7,2.0,0.0,5,7,17,14,14,16,4,3,0,2,14,13,7,5,1
2008,6,7,6,5,2,0,2,7,2,10,2,11,26400000,6900000,26.5,25.5,4.0,0.0,6,1,20,18,17,18,1,1,3,2,13,7,8,3,1
2008,7,5,6,9,2,15,2,2,2,19,1,6,28600000,7550000,26.9,26.4,2.0,0.0,3,5,20,20,16,20,3,1,0,3,14,18,6,4,1
2008,7,13,0,11,2,10,2,9,2,9,1,8,27750000,11250000,26.4,26.9,2.0,0.0,5,7,14,13,13,14,3,4,0,1,12,8,4,3,1
